Afghan,100.00%,8.78%,9.00%,1.22%,22.68%,1.45%,4.61%,23.85%,1.18%,9.86%,0.55%,1.86%,5.78%,9.99%,1.25%,4.06%,13.53%,3.10%,16.40%,3.15%,2.11%,2.40%,11.59%,5.40%,4.02%,13.68%,15.32%,5.69%,3.21%,9.25%,3.25%,9.51%,12.36%,17.17%,25.42%,1.64%,5.45%,32.16%,39.67%,9.33%,13.76%,8.92%,11.10%,18.40%,2.67%,11.26%,16.77%,3.58%,26.48%,5.96%,18.35%,7.19%,5.87%,13.40%,49.18%,36.11%,2.13%,14.99%,18.46%,3.95%,8.05%,7.78%,7.78%,1.09%,16.85%,19.58%,16.41%,4.45%,17.09%
African,8.78%,100.00%,9.66%,3.23%,7.22%,1.32%,5.86%,6.77%,0.66%,5.68%,7.37%,5.36%,9.32%,9.85%,6.31%,7.81%,4.61%,4.14%,5.81%,9.41%,3.05%,2.20%,5.97%,10.28%,7.52%,6.99%,31.10%,9.66%,4.89%,3.74%,5.59%,8.48%,7.45%,11.63%,14.81%,1.72%,7.23%,7.34%,10.88%,4.66%,11.84%,4.16%,3.43%,11.65%,4.80%,5.42%,13.33%,4.84%,16.33%,9.10%,3.98%,8.21%,11.70%,6.16%,10.02%,11.00%,2.20%,6.87%,6.19%,7.47%,7.12%,8.77%,7.24%,4.69%,7.29%,12.10%,6.86%,8.16%,5.55%
American,9.00%,9.66%,100.00%,6.30%,26.55%,1.08%,44.99%,3.47%,3.66%,34.48%,10.28%,12.54%,68.48%,51.92%,31.90%,43.02%,5.06%,20.03%,29.88%,30.82%,18.60%,15.49%,26.32%,69.18%,46.86%,21.78%,12.10%,76.84%,44.57%,10.97%,36.53%,46.85%,38.35%,39.54%,18.49%,18.29%,58.47%,5.05%,17.61%,1.95%,56.52%,25.46%,16.84%,17.76%,20.59%,6.88%,41.98%,38.82%,24.25%,20.00%,15.39%,30.35%,66.72%,35.66%,15.80%,16.72%,7.98%,29.78%,18.95%,53.45%,75.45%,46.27%,75.24%,13.87%,21.79%,17.79%,22.26%,36.36%,17.71%
Argentine,1.22%,3.23%,6.30%,100.00%,5.45%,1.29%,10.88%,4.38%,-0.04%,1.45%,9.88%,26.54%,8.34%,7.88%,4.23%,10.60%,1.21%,10.20%,5.63%,9.67%,3.24%,8.68%,1.27%,10.03%,8.08%,1.17%,3.62%,9.84%,6.05%,4.68%,10.49%,5.24%,2.60%,4.42%,2.13%,5.78%,8.30%,0.94%,5.26%,0.41%,5.85%,6.10%,5.91%,3.29%,21.03%,5.39%,5.38%,8.73%,5.33%,6.95%,1.69%,3.85%,9.58%,4.39%,2.07%,1.62%,24.36%,2.57%,1.51%,9.81%,5.98%,6.77%,6.73%,4.99%,4.44%,5.41%,2.53%,8.04%,4.38%
Asian,22.68%,7.22%,26.55%,5.45%,100.00%,3.20%,36.86%,32.23%,2.24%,7.14%,10.10%,8.33%,43.68%,15.33%,20.96%,34.71%,26.07%,11.33%,56.17%,26.66%,16.24%,7.72%,5.75%,44.61%,34.08%,6.47%,12.14%,46.16%,27.80%,30.65%,34.48%,17.55%,12.91%,21.50%,16.23%,19.10%,43.55%,33.00%,37.07%,15.65%,27.98%,42.84%,41.98%,11.52%,13.70%,26.09%,24.10%,22.50%,21.48%,47.44%,38.61%,5.92%,44.10%,15.15%,31.26%,19.64%,5.37%,11.24%,12.62%,42.29%,21.18%,17.92%,21.98%,14.54%,44.86%,10.81%,12.50%,34.01%,49.19%
Australian,1.45%,1.32%,1.08%,1.29%,3.20%,100.00%,0.30%,3.04%,-0.01%,0.26%,-0.05%,0.58%,0.79%,1.25%,0.18%,0.24%,5.70%,0.73%,3.41%,0.68%,0.49%,0.46%,0.34%,1.22%,0.59%,0.40%,1.03%,1.14%,1.19%,7.05%,1.10%,0.34%,0.30%,1.16%,0.79%,3.92%,0.91%,2.45%,2.08%,9.36%,0.58%,4.63%,3.84%,0.55%,1.21%,6.56%,1.36%,1.45%,1.10%,2.02%,2.29%,0.18%,3.08%,1.12%,1.60%,1.33%,0.89%,0.72%,0.54%,0.53%,0.51%,0.18%,0.56%,-0.07%,5.08%,0.54%,0.47%,0.46%,4.89%
Bakery,4.61%,5.86%,44.99%,10.88%,36.86%,0.30%,100.00%,2.00%,1.92%,5.06%,16.57%,11.62%,52.02%,25.63%,15.48%,46.02%,4.84%,19.94%,35.63%,39.07%,22.26%,14.57%,-0.09%,51.85%,39.40%,-0.09%,10.62%,45.38%,26.25%,16.88%,31.65%,32.17%,13.92%,28.82%,11.05%,25.69%,41.99%,4.58%,22.37%,3.78%,43.92%,37.60%,24.79%,6.71%,25.08%,13.78%,36.20%,40.79%,23.13%,45.57%,12.67%,6.38%,41.02%,17.12%,13.36%,12.60%,9.80%,9.39%,5.21%,35.79%,31.93%,25.92%,30.44%,17.31%,32.82%,8.21%,8.79%,34.42%,26.23%
Bangladeshi,23.85%,6.77%,3.47%,4.38%,32.23%,3.04%,2.00%,100.00%,-0.01%,4.53%,22.40%,0.81%,1.93%,12.57%,-0.09%,4.06%,26.49%,0.44%,20.16%,10.99%,0.95%,0.49%,5.63%,3.34%,1.89%,6.58%,8.45%,2.30%,-0.09%,17.74%,0.88%,7.24%,5.89%,6.95%,13.79%,1.41%,0.36%,41.84%,38.13%,15.46%,6.45%,11.40%,16.19%,8.40%,0.50%,24.20%,5.88%,0.77%,12.92%,0.68%,19.31%,2.87%,10.32%,6.22%,27.96%,14.57%,0.16%,7.09%,8.91%,3.25%,4.31%,5.10%,3.51%,5.05%,32.17%,14.67%,8.02%,1.14%,30.22%
Bars,1.18%,0.66%,3.66%,-0.04%,2.24%,-0.01%,1.92%,-0.01%,100.00%,-0.04%,0.54%,0.09%,4.17%,2.00%,-0.12%,2.47%,1.11%,2.45%,1.34%,1.38%,0.12%,0.20%,-0.01%,4.14%,1.34%,-0.01%,1.31%,3.10%,1.92%,-0.10%,1.06%,1.68%,0.99%,2.72%,0.75%,1.18%,4.44%,-0.05%,0.15%,-0.04%,4.11%,2.23%,0.15%,0.52%,1.83%,-0.06%,3.12%,3.25%,3.23%,7.26%,0.14%,0.54%,5.36%,1.54%,0.34%,1.04%,-0.08%,0.54%,0.57%,1.79%,2.04%,0.86%,2.28%,-0.10%,0.77%,-0.05%,-0.04%,1.85%,0.42%
Belgian,9.86%,5.68%,34.48%,1.45%,7.14%,0.26%,5.06%,4.53%,-0.04%,100.00%,22.85%,5.28%,3.97%,46.09%,-0.34%,3.01%,2.38%,5.78%,4.93%,4.64%,3.67%,4.46%,40.00%,1.59%,1.89%,33.06%,9.15%,2.84%,0.30%,1.97%,1.59%,46.78%,41.38%,26.81%,14.49%,1.11%,2.95%,8.15%,7.75%,3.99%,36.26%,3.06%,3.66%,20.92%,3.96%,2.01%,27.85%,3.78%,14.90%,5.22%,6.47%,28.06%,4.69%,35.56%,9.72%,14.80%,2.99%,34.81%,27.44%,1.42%,34.50%,33.97%,33.34%,-0.20%,3.87%,23.44%,28.22%,1.48%,3.59%
