Yelp type,Yelp subtype,Exclude subtype,Yelp unique types,EatNow type,Unique,,Country,Lat,Lon
Afghan,,Afghan,Afghan,Afghan,Afghan,,Afghanistan,34.53,69.17
African,,African,African,African,African,,Africa,-8.783195,34.508523
,Senegalese,African,American_(New),American_(New),American_(New),,United States,50.697257,-14.981408
,South African,African,American_(Traditional),American_(Traditional),American_(Traditional),,United States,50.697257,-14.981408
American_(New),,American_(New),Arabian,Middle_Eastern,Middle_Eastern,,Middle East,29.298528,42.5510
American_(Traditional),,American_(Traditional),Argentine,Argentine,Argentine,,Argentina,-34.61,-58.38
Arabian,,Arabian,Armenian,Armenian,Armenian,,Armenia,40.18,44.51
,Arab Pizza,Arabian,Asian_Fusion,Asian,Asian,NEW,Asia,34.047863,100.6197
Argentine,,Argentine,Asturian,Spanish,Spanish,,Spain,40.42,-3.7
Armenian,,Armenian,Australian,Australian,Australian,,Australia,-35.28,149.13
Asian Fusion,,Asian_Fusion,Austrian,Eastern_European,Eastern_European,,Eastern_European,46.910262,21.58082
Asturian,,Asturian,Baguettes,Delis,Delis,,,,
Australian,,Australian,Bangladeshi,Bangladeshi,Bangladeshi,,Bangladesh,23.71,90.41
Austrian,,Austrian,Barbeque,American_(Traditional),German,,Germany,52.52,13.41
Baguettes,,Baguettes,Basque,Spanish,Bars,NEW,,,
Bangladeshi,,Bangladeshi,Bavarian,German,Pubs,NEW,,,
Barbeque,,Barbeque,Beer_Garden,Bars,Belgian,,Belgium,50.85,4.35
Basque,,Basque,Beer_Hall,Bars,Brasseries,,,,
Bavarian,,Bavarian,Beisl,Pubs,Turkish,,Turkey,39.92,32.85
Beer Garden,,Beer_Garden,Belgian,Belgian,Brazilian,,Brazil,-15.78,-47.93
Beer Hall,,Beer_Hall,Bistros,Brasseries,Brunch,NEW,,,
Beisl,,Beisl,Black_Sea,Turkish,British,,United Kingdom,51.51,-0.13
Belgian,,Belgian,Brasseries,Brasseries,Buffets,,,,
,Flemish,Belgian,Brazilian,Brazilian,Bulgarian,,Bulgaria,42.7,23.32
Bistros,,Bistros,Breakfast_&_Brunch,Brunch,Fast_Food,,,,
Black Sea,,Black_Sea,British,British,Burmese,,Myanmar,19.75,96.13
Brasseries,,Brasseries,Buffets,Buffets,Cafes,,,,
Brazilian,,Brazilian,Bulgarian,Bulgarian,Southern,,United States,50.697257,-14.981408
,Brazilian Empanadas,Brazilian,Burgers,Fast_Food,Cambodian,,Cambodia,11.56,104.92
,Central Brazilian,Brazilian,Burmese,Burmese,Caribbean,,Caribbean,19.84182,-76.579166
,Northeastern Brazilian,Brazilian,Cafes,Cafes,Chilean,,Chile,-33.46,-70.65
,Northern Brazilian,Brazilian,Cafeteria,Delis,Chinese,,China,39.91,116.4
,Rodizios,Brazilian,Cajun/Creole,Southern,Mediterranean,,Mediterranean,34.553128,18.048011
Breakfast & Brunch,,Breakfast_&_Brunch,Cambodian,Cambodian,Cuban,,Cuba,23.13,-82.38
British,,British,Canadian,American_(Traditional),Czech,,Czech Republic,50.09,14.42
Buffets,,Buffets,Canteen,Delis,Northern_European,NEW,Northern_European,58.846608,16.754162
Bulgarian,,Bulgarian,Caribbean,Caribbean,Ethiopian,,Ethiopia,9.02,38.75
Burgers,,Burgers,Catalan,Spanish,Filipino,,Philippines,14.6,120.98
Burmese,,Burmese,Chech,Eastern_European,French,,France,48.85,2.35
Cafes,,Cafes,Cheesesteaks,Fast_Food,Russian,,Russia,55.75,37.62
Cafeteria,,Cafeteria,Chicken_Shop,Bars,Healthy,NEW,,,
Cajun/Creole,,Cajun/Creole,Chicken_Wings,Bars,Greek,,Greece,37.98,23.72
Cambodian,,Cambodian,Chilean,Chilean,Hawaiian,,Hawaii,19.896766,-155.582782
Canadian,,Canadian,Chinese,Chinese,Himalayan/Nepalese,,Nepal,27.7,85.32
Canteen,,Canteen,Comfort_Food,Delis,Indian,,India,28.64,77.22
Caribbean,,Caribbean,Corsican,Mediterranean,Indonesian,,Indonesia,-6.21,106.85
,Dominican,Caribbean,Creperies,Fast_Food,Italian,,Italy,41.89,12.48
,Haitian,Caribbean,Cuban,Cuban,Japanese,,Japan,35.69,139.69
,Puerto Rican,Caribbean,Curry_Sausage,Fast_Food,Korean,,South Korea,37.57,126.98
,Trinidadian,Caribbean,Cypriot,Mediterranean,Persian,NEW,Iran,35.69,51.42
Catalan,,Catalan,Czech,Czech,Laos,,Laos,17.97,102.6
Chech,,Chech,Czech/Slovakian,Eastern_European,Latin_American,,Latin America,-4.442038,-61.326854
Cheesesteaks,,Cheesesteaks,Danish,Northern_European,Seafood,,,,
Chicken Shop,,Chicken_Shop,Delis,Delis,Malaysian,,Malaysia,3.14,101.69
Chicken Wings,,Chicken_Wings,Diners,American_(Traditional),Mexican,,Mexico,19.43,-99.13
